image,preset,entropy,contrast,sharpness,colorfulness,brightness,entropy_improvement,contrast_improvement,sharpness_improvement,colorfulness_improvement
low00694,output_only,7.339039,66.79977333225017,2610.5372249799298,29.05168870817758,168.8826,19.985163,118.97179257998731,1298.2861986323242,87.54415089338127
low00695,baseline,6.119216,30.517326902532627,185.15219927749996,15.454630264286157,111.559375,0.0,0.0,0.0,0.0
low00695,minimal,6.2638693,33.35601094802204,220.82659921972223,16.920505333038797,121.98937916666667,2.363919,9.301876453844422,19.267607990307834,9.485021923430322
low00695,balanced,7.396559,68.63699129235188,2349.1228123685933,29.577212047595626,172.29331666666667,20.874289,124.9115445516157,1168.75231379121,91.38091006903674
low00695,aggressive,3.976646,72.51817291063713,5087.8945753455555,30.464875110639284,213.87034583333335,-35.0138,137.6295051733999,2647.9525467153585,97.12458072219331
low00695,illumination_only,6.386712,34.78240485855121,240.18528628081597,17.60579207758732,127.30435,4.3714113,13.975922496883648,29.723161387261865,13.919205937085707
low00695,output_only,7.3370304,66.7968703170539,2579.65042420493,29.067358706111204,168.95359583333334,19.901478,118.88178650244245,1293.2594018711252,88.0818771399693
low00696,baseline,6.691759,32.334415607701914,150.09019583331605,31.36134628824061,95.08190833333333,0.0,0.0,0.0,0.0
low00696,minimal,6.839458,35.37609056293035,178.86804166666667,34.28527836058504,104.00199583333334,2.2071757,9.406927257110915,19.173701302455566,9.323362732807164
low00696,balanced,7.859453,69.76548473767896,1852.3216736582642,60.31072639596363,142.39532916666667,17.449734,115.76231834250666,1134.1390211225894,92.30911148281285
low00696,aggressive,5.649496,72.89416607071087,4344.917999374931,55.96031263983502,202.764675,-15.575322,125.43832848288064,2794.8712973898823,78.43721416008898
low00696,illumination_only,6.9034758,36.6298388115138,192.99616249373253,35.799251872037544,108.32790416666667,3.1638412,13.284369372640633,28.586788378946533,14.150877143501297
low00696,output_only,7.830492,68.16481727808657,2053.326402487483,57.94946520098567,139.95544166666667,17.016945,110.81196612642665,1268.0616452575105,84.77990284082497
low00697,baseline,6.691122,32.32842436880237,149.1397316863889,31.511018302693063,95.131825,0.0,0.0,0.0,0.0
low00697,minimal,6.838495,35.36965525116677,177.57469388498268,34.44744871547325,104.05638333333333,2.2025113,9.40729695846005,19.06598723027532,9.318741732091935
low00697,balanced,7.862042,69.97798609016553,1854.626821641042,60.435629932998744,142.40345416666668,17.499605,116.45962479289838,1143.5497909711626,91.79205620223851
low00697,aggressive,5.6453347,72.9223024135867,4364.077311491042,56.02768168952223,202.7008375,-15.629477,125.56714048816534,2826.1667981727537,77.80346274856458
low00697,illumination_only,6.9024897,36.62618266398232,191.83509789750002,35.97194794817388,108.38612083333334,3.1589262,13.294054316261029,28.62776117962379,14.156729568779324
low00697,output_only,7.832914,68.39295937988902,2057.424466070816,58.15289428036931,140.13277083333332,17.064281,111.55673595366966,1279.5280726380606,84.54781029846731
low00698,baseline,6.1858954,25.95650329537666,80.68179142493057,32.46251873829279,106.39562083333334,0.0,0.0,0.0,0.0
low00698,minimal,6.3119745,28.363216924328423,95.86924982638887,35.520618854509856,116.4092125,2.03817,9.272102646354698,18.823898345873115,9.420403083540547
low00698,balanced,7.4701824,61.78652355567998,1156.7486682482636,67.12377157475089,167.79085833333335,20.761538,138.03870210316546,1333.717134707584,106.77314695107647
low00698,aggressive,4.7391777,65.23257046900005,2755.884948012222,60.18594584426454,213.30008333333333,-23.387362,151.3149391760299,3315.745857076566,85.40134340613929
low00698,illumination_only,6.3652983,29.008407215260704,103.66708315270833,37.02226880678669,120.80418333333333,2.9001918,11.757762149833354,28.488821730196907,14.046199265232046
low00698,output_only,7.41434,61.84959576116665,1290.4038059565971,65.04808870749739,166.77071666666666,19.858799,138.28169402225768,1499.3742617344315,100.37905632617054
low00699,baseline,6.1874723,25.985950201462696,80.80018241493056,32.35128197254991,106.50504583333333,0.0,0.0,0.0,0.0
low00699,minimal,6.3160295,28.3976511641368,95.9573676915104,35.4017727391834,116.5344,2.0777016,9.280788056533542,18.758850318856503,9.429273217740896
low00699,balanced,7.4597282,61.5271703176835,1149.9383804998436,66.90433795239544,167.85982083333334,20.561804,136.7709082818925,1323.1878519711777,106.8058323288821
low00699,aggressive,4.7243853,64.996995112458,2761.4618241597227,60.0784264853025,213.61986666666667,-23.645956,150.1236037495348,3317.643056767963,85.70647845201032
low00699,illumination_only,6.3584833,29.027763176002146,103.71734549305556,36.89061523293912,120.90774583333334,2.7638261,11.705606110059554,28.362761559669796,14.031386033607058
low00699,output_only,7.413391,61.67021992650354,1284.8154531228993,64.96258299949385,167.11399583333332,19.812918,137.3213965561754,1490.1145451937573,100.80373647824727
low00700,baseline,4.990656,26.267033466162157,99.67215736416667,38.46724107475826,122.57650416666667,0.0,0.0,0.0,0.0
low00700,minimal,5.100718,28.804015943532256,118.88008855305554,42.10036496620336,134.3955625,2.2053638,9.658427856492827,19.271110104208862,9.444721768281706
low00700,balanced,6.7050123,63.799998788570505,1621.657313270399,86.34315542451573,188.28189166666667,34.351326,142.89000457839762,1526.9912843818954,124.45892404062495
low00700,aggressive,3.6710832,66.44082848619682,3157.2786631062327,88.52831564405913,217.08063333333334,-26.440868,152.94378435154292,3067.663614995969,130.1394983643637
low00700,illumination_only,5.6005754,28.7954969121545,121.50544352276039,43.27897311611275,136.10822083333332,12.2212305,9.62599544881828,21.905100417183355,12.508648675903844
low00700,output_only,6.1408696,63.34717087760587,1806.1564944602605,82.65349391270898,186.03594166666667,23.047346,141.1660645242306,1712.0973220848487,114.86722625123538
low00701,baseline,4.9971433,26.26287894262249,100.43963328270834,38.43221797855474,122.5722125,0.0,0.0,0.0,0.0
low00701,minimal,5.1101694,28.805383953626034,119.63902078817705,42.0637602964219,134.38869583333334,2.261815,9.68098362924435,19.11535006447905,9.449213469525922
low00701,balanced,6.703149,63.731900420475455,1617.6556581455548,86.14417295186894,188.09932083333334,34.139618,142.66913219876983,1510.5750342519916,124.1457232573399
low00701,aggressive,3.6717286,66.51762565265233,3159.293508248264,88.38933743172718,217.01268333333334,-26.523447,153.27621468299768,3045.4649972245243,129.98760436113426
low00701,illumination_only,5.602504,28.78862423705277,122.44160410206601,43.240514961285825,136.11093333333332,12.114132,9.617168399353215,21.90566621985618,12.511109781418616
low00701,output_only,6.1554604,63.24513204048996,1798.6679318732633,82.73814838891984,186.1063125,23.179585,140.81568581519187,1690.795001023686,115.28330328238643
low00702,baseline,6.014802,22.758047636127838,112.77211236248267,26.25736609490044,111.52584166666666,0.0,0.0,0.0,0.0
low00702,minimal,6.1470814,24.889592195528678,134.6719913997222,28.702720532433375,122.02858333333333,2.1992311,9.366113444709843,19.419587501249325,9.313022596001574
low00702,balanced,7.345425,58.1248390339526,1726.6485773553993,50.09169495604101,175.06304583333332,22.122477,155.40345096070916,1431.0953578713184,90.77197147268149
low00702,aggressive,4.1846995,65.1906546480099,4256.785837439565,43.76930232611299,222.3656625,-30.426645,186.4509983032171,3674.679526935707,66.6934229728915
low00702,illumination_only,6.2354946,25.958890978667476,140.3973081232639,29.637855853425286,126.1580875,3.6691587,14.06466579961973,24.496478058321504,12.874443484951772
low00702,output_only,7.293769,56.35161110309918,1947.4113269540105,48.985723580833294,170.71229166666666,21.263657,147.61179871001937,1626.8554132376796,86.55992914059658
low00703,baseline,6.015859,22.781156636141176,112.69279804000003,26.186563492598786,111.48167916666667,0.0,0.0,0.0,0.0
low00703,minimal,6.1480083,24.9112793139306,134.5065230863889,28.625125537873522,121.9781,2.1966808,9.35037106241607,19.356804894174477,9.312264459458213
low00703,balanced,7.3435955,58.09241374961679,1719.710942412761,49.925179643498986,175.0629,22.070602,155.0020382084378,1426.0167218515185,90.65189541808164
low00703,aggressive,4.1733284,65.19201092850523,4241.4618117798445,43.47085684769372,222.3236875,-30.627892,186.16637851074395,3663.7381319384303,66.00443528980067
low00703,illumination_only,6.2352524,25.97930798178586,140.24233521234373,29.560783745365306,126.10429583333334,3.6469147,14.03858195931533,24.446581903632445,12.885311406822012
low00703,output_only,7.2918034,56.35335470811179,1940.6252116453998,48.809143130864214,170.88684166666667,21.209677,147.36827724853083,1622.0490088076253,86.39002840009663
low00704,baseline,6.016844,22.78500299568067,112.07491248539928,26.2818469099197,111.2832125,0.0,0.0,0.0,0.0
low00704,minimal,6.1462364,24.913959885445625,133.78215414998263,28.72573629019966,121.7558375,2.1505065,9.343676145965564,19.368510921131694,9.29877336496298
low00704,balanced,7.345709,58.298654029083394,1720.9249452391496,50.412405276288105,174.8175375,22.08575,155.86414906390405,1435.513084128748,91.81454579305337
low00704,aggressive,4.191037,65.42625708185547,4271.383079442708,43.67565809275391,222.067275,-30.344925,187.14614211048493,3711.1857370392045,66.18184499152977
low00704,illumination_only,6.2338037,25.991442886353305,139.52873747081597,29.687055225062167,125.93537916666666,3.6058764,14.072589287262657,24.495959333444294,12.95650312100867
low00704,output_only,7.2935467,56.51861457677204,1940.9514078077084,49.07750904470199,170.547325,21.218815,148.05181981975693,1631.8339713721111,86.73538892800718
low00705,baseline,6.0417433,20.307970207311257,57.49073746416669,16.49618499113048,112.656725,0.0,0.0,0.0,0.0
low00705,minimal,6.166982,22.184661201529913,68.33275319555555,18.027037658192228,123.1852,2.0728934,9.241154950793709,18.858717437998713,9.280040614753306
low00705,balanced,7.489181,57.01418808901807,1148.3707977708334,35.677365340837895,176.18634166666666,23.957287,180.74784189161295,1897.4883753867302,116.2764624670527
low00705,aggressive,4.3968263,61.153616775393175,2914.3490090122223,30.737403277202173,223.12352916666666,-27.225866,201.1311133073098,4969.249652309126,86.33037453040677
